,,"45,041","34,44,81,898","62,664",,,"5,004","2,43,71,541","5,050",,
city,campaignCode,responders,sales,bills,abv,amv,redeemers,redeemers_Sales,redeemers_Bills,redeemers_ABV,redeemers_AMV
Gurgaon,BROD_BROD_2276,14,127988,22,5818,9142,4,18447,4,4612,4612
AURANGABAD,BROD_BROD_2276,7,61389,10,6139,8770,0,0,0,0,0
DHANBAD,BROD_BROD_2211,4,42582,4,10646,10646,0,0,0,0,0
LUCKNOW,BROD_BROD_2211,27,158115,30,5270,5856,5,19879,5,3976,3976
JABALPUR,BROD_BROD_2211,52,357487,55,6500,6875,13,58422,13,4494,4494
DHANBAD,BROD_BROD_2211,10,63056,10,6306,6306,1,3299,1,3299,3299
ROURKELA,BROD_BROD_2453,14,90555,14,6468,6468,0,0,0,0,0
HYDERABAD,BROD_BROD_2453,15,66943,15,4463,4463,2,6996,2,3498,3498
JAMSHEDPUR,BROD_BROD_2453,31,227914,33,6906,7352,0,0,0,0,0
PATNA,BROD_BROD_2228,1,8098,1,8098,8098,0,0,0,0,0
